,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
22,2020-03-04,-1832.228524805437,955.1307915336893,14548.746274748613,-1832.228524805437,-1832.228524805437,9517.9350934346,9517.9350934346,9517.9350934346,108.63381918238332,108.63381918238332,108.63381918238332,9409.301274252217,9409.301274252217,9409.301274252217,0.0,0.0,0.0,7685.7065686291635
23,2020-03-05,-1730.8817901072468,1076.517612849994,14381.789817263072,-1730.8817901072468,-1730.8817901072468,9414.949837346978,9414.949837346978,9414.949837346978,-34.96325306816761,-34.96325306816761,-34.96325306816761,9449.913090415146,9449.913090415146,9449.913090415146,0.0,0.0,0.0,7684.068047239731
24,2020-03-06,-1629.5350554090564,1619.2960215634528,14473.041743201285,-1629.5350554090564,-1629.5350554090564,9501.287503349407,9501.287503349407,9501.287503349407,6.246553665067019,6.246553665067019,6.246553665067019,9495.040949684339,9495.040949684339,9495.040949684339,0.0,0.0,0.0,7871.752447940351
25,2020-03-07,-1528.1883207108665,2334.054336561231,14522.532541018041,-1528.1883207108665,-1528.1883207108665,9514.773445066954,9514.773445066954,9514.773445066954,-32.19119411953891,-32.19119411953891,-32.19119411953891,9546.964639186494,9546.964639186494,9546.964639186494,0.0,0.0,0.0,7986.585124356087
26,2020-03-08,-1426.8415860126759,1827.926176093892,14462.69136340327,-1426.8415860126759,-1426.8415860126759,9547.83291609925,9547.83291609925,9547.83291609925,-59.74217175601163,-59.74217175601163,-59.74217175601163,9607.575087855263,9607.575087855263,9607.575087855263,0.0,0.0,0.0,8120.991330086575
27,2020-03-09,-1325.4948513144855,1801.347613283449,15112.771765490526,-1325.4948513144855,-1325.4948513144855,9717.903341984074,9717.903341984074,9717.903341984074,39.57463485114493,39.57463485114493,39.57463485114493,9678.328707132929,9678.328707132929,9678.328707132929,0.0,0.0,0.0,8392.40849066959
28,2020-03-10,-1224.1481166162953,1716.115957398438,15181.47409044428,-1224.1481166162953,-1224.1481166162953,9732.655649299475,9732.655649299475,9732.655649299475,-27.558388754390066,-27.558388754390066,-27.558388754390066,9760.214038053866,9760.214038053866,9760.214038053866,0.0,0.0,0.0,8508.50753268318
29,2020-03-11,-1122.8013819181049,2388.6039217676753,15524.979137256341,-1122.8013819181049,-1122.8013819181049,9962.365238880226,9962.365238880226,9962.365238880226,108.63381918245275,108.63381918245275,108.63381918245275,9853.731419697771,9853.731419697771,9853.731419697771,0.0,0.0,0.0,8839.56385696212
30,2020-03-12,-1021.4546472199144,2284.2768756084624,16231.059604249167,-1021.4546472199144,-1021.4546472199144,9923.922786904082,9923.922786904082,9923.922786904082,-34.96325306842029,-34.96325306842029,-34.96325306842029,9958.886039972502,9958.886039972502,9958.886039972502,0.0,0.0,0.0,8902.468139684168
31,2020-03-13,-920.1079125217243,2713.4900671201376,15619.964911690544,-920.1079125217243,-920.1079125217243,10081.440922645717,10081.440922645717,10081.440922645717,6.24655366454467,6.24655366454467,6.24655366454467,10075.194368981172,10075.194368981172,10075.194368981172,0.0,0.0,0.0,9161.333010123994
